epoch,accuracy,loss,val_accuracy,val_loss
0,0.07236234098672867,4.924243927001953,0.22132663428783417,4.312939167022705
1,0.2631387710571289,3.927384614944458,0.4433800280094147,3.068368434906006
2,0.40053480863571167,3.112365245819092,0.5495507121086121,2.435023546218872
3,0.48516109585762024,2.646684408187866,0.6090116500854492,2.0966622829437256
4,0.5449623465538025,2.345890998840332,0.6423757672309875,1.907944917678833
5,0.5881916284561157,2.1273906230926514,0.6726347804069519,1.7641055583953857
6,0.6235144734382629,1.9595569372177124,0.6880285143852234,1.666897177696228
7,0.6497589945793152,1.8285657167434692,0.7028276920318604,1.5841509103775024
8,0.6712828278541565,1.7166110277175903,0.7158430218696594,1.5115700960159302
9,0.6938135623931885,1.6120308637619019,0.7248282432556152,1.4672435522079468
